"Terms & Conditions","Käyttöehdot"
"Terms &amp; Conditions","Käyttöehdot"
"Cookie Policy","Evästekäytännöt"
"Privacy Policy","Tietosuojakäytännöt"
"FAQ","UKK"
"Sales Policy","Myyntipolitiikka"
"THIS SERVICE IS PROVIDED BY","TÄMÄN PALVELUN TARJOAA"
"What's Your Resolution?","Minkä lupauksen sinä annat?"
"Select Your Can","Valitse tölkkisi"
"Now... It’s time to fill it in!","Nyt.. On aika tehdä lupauksesi!"
"Make it personal (optional)","Mach es persönlicher"
"Select Your Flavour","Valitse sokerilla tai ilman"
"Checkout With Your Account","KIRJAUDU TILILLESI"
"Log in","Kirjaudu sisään"
"Now customize your resolution","Viimeistele tölkkisi"
"Back to Resolution","Takaisin lupauksiin"
"Let's do it!","Viimeistele tästä!"
"Can't find your pledge?","Etkö löydä lupaustasi?"
"Not a member?","Etkö ole vielä jäsen?"
"Join Us","Luo tili tästä"
"Request pledge form","Pyydä uusi lupaus"
"Submit my suggestion","Lähetä pyyntö"
"By logging in, you agree to Coca Cola's Terms of use and Privacy Policy","Kirjautumalla sisään hyväksyt Coca Colan käyttöehdot ja tietosuojakäytännön"
"Nature of Inquiry","Asiani koskee"
"Thank you, %store_name","Kiittäen, Coca-Cola Finland"
"Thank you for your order from %store_name.","Kiitos tilauksestasi Coca-Cola Store -kaupassa."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Olet lisännyt %1 <a href=""%2"">ostoskoriisi</a>."
"You already have an account with us. Click here to sign in.","Olet luonut jo tilin meille. Kirjaudu sisään napsauttamalla tätä."
"Confirm Email","Kirjoita sähköposti uudelleen"
"Nature of Inquiry","Asiani koskee"
"Choose:","Valitse"
"Order Inquiry","Tilauksen tiedot"
"Bulk orders","Isot tilaukset"
"Account Access Issues","Ongelma tilille kirjautumisessa"
"Nutrition & Ingredient Inquiry","Tuotteiden ravintoarvot ja ainesosat"
"Status of National Promotion","Paikallisen kampanjan status"
"Suggestions","Ehdotus"
"Other","Muu"
"Order Confirmation Number","Tilausnumero"
"Back","Takaisin"
"View Cart","Näytä ostoskori"
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Liity Coca-Cola -sivuston jäseneksi ja kerro läheisillesi tunteistasi Cokiksella!"
"You added %1 to your shopping cart.","Olet lisännyt %1 ostoskoriisi."
"Please type the pledge or name you'd like to use for your can (""%1""). Keep in mind you have a maximum of 36 characters (including spaces) for a pledge and a maximum of 18 characters for a name. If you are requesting more than one name, please separate the names with commas.","Kirjoita lupauksesi, jota haluaisit käyttää tölkissäsi (""%1""). Pidä mielessä, että sinulla on enintään 36 merkkiä (välilyönnit mukaan lukien) käytössäsi. Jos pyydät useampaa kuin yhtä lupausta, erota ne pilkuilla."
"Enter your card details:","Täytä korttisi tiedot"
"Your card details are protected using PCI DSS v3.2 security standards.","Korttisi tiedot on suojattu PCI DSS v3.2 -suojausstandardeilla."
"You will be redirected for payment processing	","Sinut ohjataan maksun käsittelyä varten"
"Share it with a loved one","Sano se Cokiksella"
"Preview Changes","Esikatsele"
"Add to Cart","Lisää koriin"
"How it Works","Miten se toimii"
