"Terms & Conditions","Conditions d'utilisation"
"Terms &amp; Conditions","Conditions d'utilisation"
"Cookie Policy","Politique des Cookies"
"Privacy Policy","Politique de confidentialité"
"FAQ","FAQ"
"Sales Policy","Politique de vente"
"THIS SERVICE IS PROVIDED BY","CE SERVICE EST FOURNI PAR"
"What's Your Resolution?","Quelle est votre résolution ?"
"Select Your Can","Sélectionnez votre canette"
"Now... It’s time to fill it in!","Il est temps de passer à la création !"
"Make it personal (optional)","Signez la canette (optionnel)"
"To Name","à"
"From Name","De"
"Your family or friend’s name","Le prénom de la personne"
"Select Your Flavour","Choisissez votre produit"
"Now customize your resolution","Créez maintentant votre résolution"
"Back to Resolution","De retour"
"Can't find your pledge?","Vous ne trouvez pas votre résolution ?"
"Request a name","Ajouter un prénom"
"Let's do it!","C'est parti!"
"Checkout With Your Account","Confirmer votre commande via votre compte"
"Not a member?","Pas encore membre ?"
"Join Us","Devenir membre"
"Request pledge form","Ajouter une résolution"
"Submit my suggestion","Soumettre ma suggestion"
"Please type the pledge or name you'd like to use for your can (""%1""). Keep in mind you have a maximum of 36 characters (including spaces) for a pledge and a maximum of 18 characters for a name. If you are requesting more than one name, please separate the names with commas.","Écris ici la bonne résolution ou le nom que tu aimerais avoir sur la canette (""%1""). Tu as un maximum de 36 caractères (espaces inclus) pour ta bonne résolution, et un maximum de 18 caractère pour le nom. Si tu veux mettre plusieurs noms, espace-les d'une virgule."
"You already have an account with us. Click here to sign in.","Vous avez déjà un compte chez nous. Identifiez-vous ou continuez en tant qu’invité."
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Devenez membre de notre base de données et soyez le premier à partager votre résolution."
"Request name form","Ajouter un prénom"
"Enter your card details:","Encodez vos informations bancaires"
"Preview Changes","Aperçu des modifications"
"Add to Cart","Ajouter au panier"
"From","De"
"To","Pour"
"Your %store_name order confirmation","Votre confirmation de commande %store_name"
"Thank you for your order from %store_name.","Merci pour votre commande sur le site %store_name."
"Once your package ships we will send an email with a link to track your order.","Une fois votre colis expédié, nous vous enverrons un e-mail avec un lien pour suivre votre commande.",module,Magento_Email
"Thank you, %store_name","Salutations rafraîchissantes, %store_name",module,Magento_Email
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si vous avez des questions concernant votre commande, veuillez nous contacter par email à l'adresse suivante: <a href=""mailto:%store_email"">%store_email</a>"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Si vous avez des questions concernant votre commande, veuillez nous contacter par email à l'adresse suivante: <a href=""mailto:%store_email"">%store_email</a>."
"Order Confirmed","Commande confirmé"
