"Terms & Conditions","Algemene voorwaarden"
"Terms &amp; Conditions","Algemene voorwaarden"
"Cookie Policy","Cookie beleid"
"Privacy Policy","Privacy beleid"
"FAQ","FAQ"
"Sales Policy","Verkoop beleid"
"THIS SERVICE IS PROVIDED BY","DEZE SERVICE WORDT GELEVERD DOOR"
"What's Your Resolution?","Wat is jouw goede voornemen?"
"Select Your Can","Selecteer jouw blikje"
"Now... It’s time to fill it in!","Nu is het tijd om 'm in te vullen!"
"Make it personal (optional)","Maak het persoonlijk"
"To Name","Naar"
"From Name","Van"
"Your family or friend’s name","Jouw naam of naam van jouw vriend"
"Select Your Flavour","Kies jouw smaak"
"Now customize your resolution","Vul nu je voornemen aan"
"Back to Resolution","Terug naar goede voornemen"
"Let's do it!","Ga verder!"
"Can't find your pledge?","Goede voornemen niet gevonden?"
"Request a name","Vraag een naam aan"
"Back to Resolution","Terug naar goede voornemen"
"Checkout With Your Account","Check-out met je account"
"Not a member?","Geen lid?"
"Join Us","Word lid"
"Request pledge form","Vraag een goed voornemen aan"
"Submit my suggestion","Stuur mijn suggestie in"
"Please type the pledge or name you'd like to use for your can (""%1""). Keep in mind you have a maximum of 36 characters (including spaces) for a pledge and a maximum of 18 characters for a name. If you are requesting more than one name, please separate the names with commas.","Geef hier het voornemen of de naam die je op het blik wil zetten (""%1""). Je hebt een maximum van 36 karakters (spaties inbegrepen) voor een voornemen en een maximum van 18 karakters voor een naam. Als je meer dan een naam aanvraagt, gelieve de namen te splitsen van elkaar met een komma."
"You already have an account with us. Click here to sign in.","Je hebt al een account bij ons. Klik hier om je aan te melden."
"View Cart","Bekijk winkelwagen"
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Word lid bij Coca-Cola"
"You added %1 to your shopping cart.","Je hebt %1 toegevoegd aan jouw winkelmand"
"Street Address 1","Adresregel 1"
"Street Address 2","Adresregel 2"
"Street Address 3","Adresregel 3"
"Enter your card details:","Vul hier uw kaartgegevens in"
"Your card details are protected using PCI DSS v3.2 security standards.","Uw kaartgegevens worden beschermd met PCI DSS v3.2 security"
"You will be redirected for payment processing","U wordt doorverwezen naar de betaalpagina."
"Preview Changes","Voorbeeld van wijzigingen"
"Add to Cart","Voeg aan winkelwagen toe"
"From","Van"
"To","Voor"
"Your %store_name order confirmation","Je %store_name bestelbevestiging"
"Thank you for your order from %store_name.","Bedankt voor je bestelling op de %store_name website."
"Once your package ships we will send an email with a link to track your order.","Zodra je pakket verstuurd is, sturen we een e-mail met een link om de bestelling te volgen."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Indien je vragen hebt over je bestelling kan je ons contacteren per e-mail op <a href=""mailto:%store_email""> %store_email</a>.",module,Magento_Email
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Indien je vragen hebt over je bestelling kan je ons contacteren per e-mail op <a href=""mailto:%store_email""> %store_email</a>",module,Magento_Email
"Thank you, %store_name","Verfrissende groeten, %store_name",module,Magento_Email
"Order Confirmed","Order bevestigd"
