"Jot us a note and we’ll get back to you as quickly as possible.","We would love to hear from you!",module,Magento_Contact
"Order Confirmation Number","Order Confirmation Number (Optional)",module,Coke_Contact
"What’s on your mind?","Message",module,Magento_Contact
"Submit","Send",module,Magento_Contact
"Tax","VAT"
"Subtotal","Items Value"
"Shipping","Delivery"
"Tax", "VAT"
"Order Total", "Total"
"Your shipping confirmation is below. Thank you again for your business.","Your shipping confirmation is below. Thank you again for your order.",module,Magento_Sales
"Enter your destination to get a shipping estimate.","Please fill in your postal code so that we can calculate the shipping cost."
"Sorry, no quotes are available for this order at this time","Please fill in your postal code so that we can calculate the shipping cost."
